Name,Quantities,Warehouse ID
Pan Bolsa 2a 500g BIM 1031,58,2
Pan 12 Granos 680g ORO 1039,29,1
Panque Marmol 255g BIM 1064,36,2
Tortillinas Gde McD 500g Cn TR 1101,41,1
Pan Blanco Chico 360g BIM 1109,42,1
Pan Blanco 2Pq 1360g BIM 1111,22,1
Super Pan Blanco 740g BIM 1112,5,2
Pan Blanco 680g BIM 1120,57,1
Tortillinas 10p 365g Promo 50pct TR 1124,8,2
Tortillinas 10p 255g TR 1125,42,2
Tortillinas Grande 10p 510g TR 1126,42,2
Tortillinas 20p 510g TR 1129,51,2
Tortilla Hna 22p 840g Conv DH 1134,86,1
Jugos Guayaba Sonrisas 350ml VR 1136,28,1
Pan Integral Gde 2pq 1360g BIM 1143,8,1
Pan Integral 480g BIM 1144,60,2
Pan Integral 680g BIM 1145,51,2
Pan Integral 675g BIM 1146,52,2
Tostada Plana 15p 230g DH 1147,27,1
Tostada Plana de Maiz 20p 180g DH 1148,54,2
Medias Noches 8p 340g BIM 1150,74,2
Medias Noches 16p 680g BIM 1153,23,1
Tortillinas 50p 1 31Kg TR 1156,46,2
Bimbollos 8p 450g BIM 1160,48,1
Bimbollos 12p 675g BIM 1164,32,1
Bollo Regular 2pq 30p McD BIM 1166,12,1
Bollos Quarter Pounder McD 30p 1700g BIM 1167,45,2
Bollo Big Mac 30p 1200g McD BIM 1168,74,2
Bimbollos Extra 6p 480g BIM 1169,67,2
Chino Congelado 72g Cj DH 1178,7,1
Tostado 210g BIM 1180,8,1
Tostado 210g CU BIM 1182,15,1
Molido 210g BIM 1185,23,1
Molido 5Kg BIM 1187,38,2
Tostado 2pq 420g BIM 1198,39,2
Roles Canela 2p 120g BIM 1212,13,1
Roles Glass 2p 135g BIM 1216,48,1
Colchones 6p 130g BIM 1220,9,1
Panque Pasas 255g BIM 1230,20,2
Panque Nuez 255g BIM 1232,86,1
Tostado Doble Fibra 250g BIM 1233,5,2
Panquecito Gota Choc 2p 140g BIM 1238,90,1
Mantecadas Vainilla 4p 125g BIM 1240,98,1
Donitas Espolvoreadas 6p 105g BIM 1242,54,1
Donas Azucar 4p 105g BIM 1250,32,2
Conchas Chocolate 2p 120g BIM 1272,64,2
Nito Edicion Especial 62g BIM 1277,78,1
Nito 1p 62g BIM 1278,31,1
Rebanada 2p 55g BIM 1284,15,1
Donas 6P Prom BIM 1289,18,1
Lors Tubo 20p 236g MLA 1294,65,1
Bimbunuelos 4p 66g BIM 1309,30,2
Conchitas Vainilla 2p 65g BIM 1319,48,1
Surtido Rico KC 454g LAR 1348,40,1
Bollos Extra Ajn FS 12p 960g BIM 1373,34,2
Donas Panera 26p 650g BIM 1464,71,1
Bimbollos con Ajn 18p 1440g BIM 1554,61,2
Rosca de Panque Recet Ori 600g CU SUA 1580,67,2
Pastel Chocolate Rec Orig 500g CU SUA 1608,56,1
Doraditas 4p TR 1641,78,1
Bran Frut Pina 40g BIM 1643,35,1
Bran Frut Fresa 40g BIM 1644,58,1
Animalitos KC 500g LAR 1647,93,1
Tortillas Harina 520g 20p WON 1686,70,2
Roles Glass 6p 410g BIM 1687,88,2
Tortilla Consumos 550g TR 1700,33,2
Tortillas Consumos 1 05Kg TR 1702,6,2
Totopos 200g MR 1876,86,2
Galleta Molida 5Kg LAR 1899,46,2
Suavicremas Napolitano KC 12p 480g MLA 1949,43,1
Pan Blanco 460g BIM 2025,38,1
Pan Blanco 567g WON 2027,65,2
Canelita ETN 3p 30g MLA 2028,24,1
Banderilla Congelada 70g Cj DH 2059,67,1
Barrita Pina Congelada 75g Cj DH 2060,53,2
Concha Vainilla Cong 77g Cj DH 2062,0,1
Concha Chocolate Cong 77g Cj DH 2063,10,1
Peineta Danes Pina Congelada 80g Cj DH 2064,40,1
Cuerno Congelado 80g Cj DH 2065,52,2
Pan Doble Fibra 750g BIM 2095,85,1
Pan Doble Fibra 530g BIM 2096,58,1
Concha Chicharron Cong 77g Cj DH 2097,63,1
Pan Blanco 567g SUN 2122,3,2
Pan de Linaza 475g WON 2130,41,2
Molido Industrial 25Kg BIM 2185,77,2
Principe 6p 64g MLA 2230,85,1
Pan Blanco 640g BIM 2233,85,1
Runners 58g BAR 2261,49,1
Wonder 100pct gde 680g WON 2290,95,1
Mantecadas 2p 62 5g BIM 2309,30,1
Barritas Fresa Salvado 67g Prom MLA 2320,37,1
Nito 1p 62g Central BIM 2425,78,1
Molido 25Kg BIM 2438,53,1
Mini Bigotes Chocolate 5p 65g SP TR 2505,4,2
Vasos 226 8g8oz NES 2575,46,2
Vidrio Congelado 65g Cj DH 2589,43,1
Barrita Precocida 44g DH 2604,79,2
Tostada Ondulada Tubo 30p 360g Cj MR 2665,35,2
Lors 8p 89g MLA 2734,3,2
Donas Panera 10p 525g BIM 2805,85,1
Donitas Panera 30p 525g BIM 2806,74,2
Mantecadas Panera 16p 500g BIM 2808,28,1
Panquecitos Gotas Panera 10p 700g BIM 2810,46,1
Principe 8p 85g SP MLA 2816,52,2
Plativolos 8p 74g MLA 2817,58,1
Tostado Blanco 180g WON 3030,55,1
Pan Multigrano 540g BIM 3144,76,2
Tostada Ond Roja Tubo 30p 360g MR 3160,23,2
Principe Chocolate Blanco 8p 88g MLA 3230,93,2
Orejas 70g SP TR 3256,89,2
Conchas Vainilla 2p 120g BIM 3270,8,1
Barritas Pina 67g Prom MLA 3303,59,2
Barritas Fresa 67g Prom MLA 3305,63,2
Pastisetas 20p 150g SUA 3319,83,2
Pastiseta 40p 300g SUA 3320,35,1
Pastisetas 75g SUA 3333,97,1
Animalitos 2Kg LAR 3402,10,2
Canapinas KC 560g LAR 3415,71,2
Deliciosas 6Kg LAR 3428,84,2
Canapinas 115g LAR 3435,17,2
Magnas 200g LAR 3446,75,1
Deliciosas 300g LAR 3447,18,2
Paletina para Cafe NES 3509,29,2
Saladas 140g LAR 3510,68,2
Animalitos Karamelo 200g LAR 3518,61,2
Canapinas 95g LAR 3525,86,2
Canapinas 95g SP LAR 3526,97,2
Marias 170g LAR 3530,81,1
Decanelas 100g LAR 3535,81,2
Deliciosas 115g LAR 3555,76,2
Tortilla Hna 750g 18p RW Sonora DH 3606,2,1
Mantecadas Chocolate 3p TR 3609,74,2
Super Pan Blanco 740g Prom TNB BIM 3621,70,2
Pan Integral 370g BIM 3631,12,1
Bimbollos 8p 450g Prom BIM 3678,58,1
Medias Noches Jumbo 500g BIM 3687,47,1
Cuernitos Famili Pack 3p 150g MTA TR 3718,59,1
Bran Frut Manzana Canela 40g BIM 3720,1,2
Palitrigos 100g BIM 3826,73,2
Sponch 8p 120g MLA 3894,2,1
Barra Multigrano Linaza 32g BIM 3919,80,2
Saladas 175g CU LAR 3944,10,1
Tostada Plana de Maiz 20p 180g TN DH 3970,80,1
Bran Frut Fresa 6p 240g BIM 3977,64,1
Bran Frut Pina 6p 240g BIM 3978,63,2
Bimkingo Jalapeno 86g CU LON 4053,47,1
Triki Trakes 8p 69g MLA 4085,35,1
Lors KC 497g MLA 4087,66,2
Mantecada Vainilla 3p 157g Prom TAB TR 4102,86,2
Tortilla Hna 22p 840g RW Ch DH 4109,54,1
Tortillas Bolsa 2a 1kg 4118,6,2
Pan Cero Cero 0pct Azucar 567g WON 4126,69,2
Pan Empacado Bolsa 2a 1Kg BIM 4135,54,1
Pasteles o Galletas Bolsa de 2a 1kg MLA 4136,9,2
Pan Dulce Bolsa 2a 1Kg BIM 4139,37,1
Bollo Parrillero 6p 585g BIM 4150,4,1
Medias Noches 12p 510g BIM 4152,31,2
Pan Blanco 640g Consumos Breddy BIM 4153,92,2
Mantecadas 2p 62 5g MTB BIM 4169,15,1
Sponch Navidad 120g Cj TAB MLA 4189,88,1
Sponch Navidad 120g Cj MLA 4190,30,1
Bigotes Chocolate 60g SP TR 4220,75,2
Bigotes Cajeta 60g TR 4221,50,1
Div Tira Mini Doradita 4p 45g Tir TR 4234,98,1
Mantecadas 2p SP TR 4240,98,1
Conchas 2p 120g TR 4245,54,2
Conchas 3p 180g Prom TR 4259,33,1
Cuernitos 100g TR 4270,17,1
Doraditas 110g TR 4280,49,2
Medias Noches 8p 340g TNB BIM 4301,23,1
Mantecadas Chocolate SP 2p 95g TR 4304,38,1
Tostada Ondulada Tubo 30p 360g Tn MR 4385,2,1
Wonder 100pct Ajonjoli 680g SP WON 4468,67,2
Tostada Ondulada Tubo 20p 240g MR 4477,52,1
Chocochispas 220g LAR 4482,43,1
Bollos BK 5in 6p 489g SL 4512,85,1
Bollos BK 4in 6p 345g SL 4513,70,2
Medias Noches BK 6p 470g SL 4514,80,1
Cajeta Espreable Envinada 660g COR 4624,97,2
Bimkingo Jalapeno 86g LON 4733,13,2
Tostado Doble Fibra 250g Cj BIM 4767,1,1
Tostada Ond Tubo 30p 360g Prom CU MR 4773,9,1
Pan Blanco 640g CU BIM 4774,46,2
Super Hot Dogs 12p 650g WON 4820,40,1
Pan Blanco 680g CU BIM 4838,39,1
Sandwichon 115g Cj LON 4859,58,2
Empanizador Crujiente 175g BIM 4910,18,2
Cajeta Espreable Quemada 660g COR 4919,15,2
Canelitas Vips 250g Tubo CU MLA 4943,23,1
Bimbolunch 6p 354g ME BIM 4944,98,1
Panera Polvoron 14p 65g TR 4946,96,2
Baguette Precocida Cong 280g Cj DH 4947,94,1
Gansito 1p 50g CCharola MLA 5000,1,2
Triki Trakes Chocolate 69g MLA 5015,91,1
Nito 1p 62g Central TAB BIM 5052,41,2
Coca Cola Lata 355ml CC 5200,14,2
Coca Cola Light Lata 355ml CC 5223,21,1
Barra Multigrano Linaza 6p 192g BIM 5277,31,2
Gansito 50g MLA 5310,61,1
Submarinos Vainilla 3p 105g SP MLA 5328,34,2
Submarinos Fresa 3p 105g SP MLA 5337,59,1
Choco Roles 2p 80g MLA 5340,86,1
Rollo Fresa 2p 75G MLA 5345,51,1
Pay Pina 1p 85g MLA 5350,14,2
Pay Nuez 1p 70g MLA 5354,82,2
Napolitano 1p 70g MLA 5355,60,2
Bombonete 55g Cj MLA 5371,29,1
Rocko Tira 10p 44g MLA 5376,18,2
Pinguinos 2p 80g MLA 5380,71,1
Choco Roles 2p 80g MLA 5386,87,1
Canelitas 6p 60g MLA 5410,71,1
Canelitas Tubo 250g MLA 5414,96,2
Triki Trakes Tubo 27p 225g MLA 5422,65,2
Plativolos Tubo 193g MLA 5423,40,1
Triki Trakes 6p 50g MLA 5430,91,1
Sponch Fresa 6p 90g MLA 5434,62,2
Suavicremas Vainilla 205g MLA 5453,66,2
Suavicremas Fresa 205g MLA 5454,54,2
Suavicremas Chocolate 205g MLA 5456,48,2
Polvorones 4p 75g MLA 5460,72,2
Polvoron Tubo 280g MLA 5463,96,1
Principe Tubo 205g MLA 5470,29,2
Plativolos 300g MLA 5496,3,1
Gansito ME 5p 250g MLA 5543,76,2
Pinguinos 6p 240g ME MLA 5544,33,2
Choco Roles 7p 234 5g ME MLA 5545,90,2
Triki Trakes 3P 25g Inst MLA 5576,65,1
Submarinos Chocolate 3p 105g SP MLA 5621,96,1
Tostada Ondulada Tubo 30p MR 5707,74,1
Polvoron KC 12p 900g MLA 5708,39,1
Plativolos KC 12p 522g MLA 5709,82,1
Canelitas KC 12p 720g MLA 5710,57,1
Sponch KC 540g MLA 5711,27,1
Triki Trakes KC 600g MLA 5712,10,2
Principe KC 610g MLA 5713,45,1
Suavicremas Chocolate KC 480g MLA 5714,71,1
Barritas Fresa Kc 12p 804g MLA 5715,9,2
Barritas Pina Kc 12p 768g MLA 5716,54,1
Suavicremas Vainilla KC 480g MLA 5717,89,1
Suavicremas Fresa KC 480g MLA 5718,97,2
Chocotorro Fresa 1p 50g Prom MLA 5901,89,1
Burritos Combinado 191g CU LON 5917,4,2
Burritos Norteno 186g CU LON 5918,94,1
Burritos Clasico 197g CU LON 5919,80,2
Burritos Poblano 208g CU LON 5921,60,2
Base Plativolos Chocolate 6Kg MLA 5948,21,1
Frute 54g MTB MLA 6066,66,1
Tostada Ondulada Reg 30p 360g CU2 MR 6085,8,1
Chicharron Kimono 36g BAR 6177,7,1
Tortilla Nachos 3pq 1Kg BAR 6420,9,1
Takis Fajitas 62g BAR 6437,50,2
Churritos Chile y Limon 49g BAR 6456,72,2
Totopos 280g DH 6469,47,1
Tostachos Queso CB1 70g BAR 6476,65,1
Chipotles 52g BAR 6490,51,1
Burritos Norteno 186g MTA LON 6500,15,2
Burritos Clasico 197g MTA LON 6502,85,2
Burritos Poblano 208g MTA LON 6503,45,2
Burritos Combinado 191g MTA LON 6505,54,1
Bimkingo Clasico 135g CU LON 6507,27,1
Takis Salsa Brava 62g BAR 6555,92,2
Bimkingo Jalapeno 86g MTA LON 6566,14,1
Pan Tostado Arandanos 150g MTA BIM 6633,45,2
Tortinachos 3pq 1kg MR 6645,54,1
Sandwichon 115g LON 6657,20,2
Bimkingo Clasico 135g LON 6667,2,1
Totopos Redondo 350g MR 6700,37,1
Golden Nuts Semilla 20g BAR 6820,50,1
Bollos Economicos 8p 425g SL 7144,49,2
Hot Dogs Economicos 16p 570g SL 7145,89,1
Bimkingo Clasico Refrig 135g MTA LON 7340,68,2
Sandwichon Refrigerado 115g MTA LON 7342,63,1
Panditas 42 5g RIC 7724,16,1
Bubulubu 20g RIC 7761,6,1
Kranky 40g RIC 7814,77,1
Bubulubu 1p 35g RIC 7829,4,2
Almendras 35g RIC 7884,58,2
Cajeta Quemada Cubeta 25Kg COR 8766,85,1
Cajeta Quemada Cubeta 5Kg COR 8768,97,1
Obleas Tira 10p COR 8825,68,2
Medias Noches Esp BK 7in 1775g TIR SL 8863,90,2
Bollos BK 5in 20p 1730g SL 8864,11,1
Bollos BK 4in 30p 1635g Tn SL 8865,44,2
Tortilla Hna 10p 260g Ch DH 8874,51,2
Tortilla Hna RC Gdl 10p 260g DH 8921,17,2
Medias Noches Conveniencia 290g BIM 8931,16,2
Tortilla Hna RC SLP 10p 260g DH 8940,82,1
Dalmata 1p 55g TAB MLA 9082,0,1
Barritas Fresa 32g CU MLA 9197,7,2
Cuernitos Famili Pack 3p 150g TR 9217,17,2
Dulcigomas 49g RIC 9248,40,2
Canelitas 30g CU MLA 9249,68,1
Principe 42 5g CU MLA 9302,72,2
Chocoretas 10g RIC 9416,74,1
Mentho Plus Miel 30g RIC 9699,62,1
Oatnut 680g ORO 9711,67,2
Pan 12 Grain 680g ORO 9717,56,1
100pct Whole Wheat 680g ORO 9753,67,2
Butter Milk Bread 680g ORO 9756,43,1
Bubulubu Twin Pack 70g RIC 9764,59,2
Chicks Vitrolero 1470g EXP CA CHK 9798,22,2
Pasteles yo Galletas 2a 500g MLA 9853,88,2
Pan Blanco 470g BIM 9869,45,1
Duo Nito 124g SP MTB BIM 30007,13,1
Duo Nito 124g SP TAB BIM 30008,53,1
Submarinos Chocolate 3p 105g MLA 30009,79,2
Submarinos Chocolate 3p 105g MTA MLA 30010,28,1
Submarinos Fresa 3p 105g MLA 30011,44,2
Submarinos Fresa 3p 105g MTA MLA 30012,35,2
Submarinos Vainilla 3p 105g MLA 30014,74,1
Submarinos Vainilla 3p 105g MTA MLA 30015,91,2
Raztachoc 1p 40g BIM 30091,92,1
Raztachoc 1p 40g MTA BIM 30092,12,2
Camioncitos Bimbo BIM 30099,24,1
Trailer 20g BIM 30100,91,2
Takis Fuego 56g BAR 30110,77,1
Takis Fajitas 56g BAR 30111,36,1
Takis Salsa Brava 56g BAR 30112,12,2
Napi 25g MTA MLA 30137,70,2
Medias Noches 8p 340g Prom MTA BIM 30172,9,2
Medias Noches 8p 340g Prom BIM 30173,89,1
Bran Frut Fresa 6p 240g Var BIM 30177,7,1
Bran Frut Pina 6p 240g Var BIM 30178,79,2
Sprite Lata 24p 355ml CC 30187,40,2
Fresca Lata 24p 355ml CC 30189,47,2
Fanta Lata 24p 355ml CC 30190,93,2
Manzana Lift Lata 24p 355ml CC 30191,82,1
Tostada Ond Roja Tubo 30p 360g TBE MR 30194,40,2
Tostada Ondulada Tubo 30p 360g TBE MR 30195,18,2
Tartinas Fresa 8p 104g TR 30214,31,1
Tartinas Pina 8p 104g TR 30215,91,1
Bran Frut Mango 48g BIM 30218,29,1
Tortilla Harina Casera 10p 220g DH 30227,38,2
Barritas Pina KC 8p 600g CU MLA 30235,38,2
Barritas Fresa KC 8p 600g CU MLA 30236,89,2
Tartinas Fresa 8p 104g MTB TR 30249,35,1
Tartinas Fresa 8p 104g TAB TR 30250,20,2
Tartinas Pina 8p 104g TAB TR 30251,83,2
Tartinas Pina 8p 104g MTB TR 30252,74,2
Bran Frut Mango 48g MTB BIM 30265,18,2
Bran Frut Mango 48g TAB BIM 30266,59,2
Camioncito Bimbo Modelo 3 BIM 30280,4,1
Pan Natura Granos Enteros 567g MTA BIM 30289,37,2
Tostado 210g y Cajeta Quemada 18g BIM 30302,93,2
Tostado Resellable 210g BIM 30305,78,1
Tostado Resellable 210g MTA BIM 30306,9,1
Canelitas KC 360g MLA 30314,44,1
Polvorones KC 450g MLA 30315,49,2
Leche Gansito Chocolate 24p MLA 30332,62,1
Mini Gansito 30g MTA MLA 30349,96,1
Polvorones 113g MLA 30354,9,1
Polvorones 113g MTB MLA 30355,72,1
Tortillinas 12p 310g Prom TR 30370,97,2
Tortillinas 12p 310g WM MTA TR 30371,77,2
Tortillinas 12p 310g Prom TAB TR 30372,19,2
Tostado 270g BIM 30374,42,2
Tostado 270g TNB BIM 30375,44,1
Tostado 270g TAB BIM 30376,72,1
Agua Ciel Jamaica 12p 600ml CC 30378,6,1
Agua Ciel Jamaica 24p 600ml CC 30379,92,1
Agua Ciel Limon 12p 600ml CC 30380,17,1
Agua Ciel Limon 24p 600ml CC 30381,73,2
Agua Ciel Natural 24p 600ml CC 30383,35,1
Coca Cola Lata 12p 355ml CC 30384,0,2
Coca Cola Light Lata 12p 355ml CC 30385,86,1
Manzana Lift Lata 12p 355ml CC 30387,71,1
Powerade Naranja 12p 600ml CC 30393,46,1
Barra Mora Azul GH 6p 31g MP 30397,12,1
Lata Surtido de Galletas 454g Cimab GBI 30399,41,2
Pan Integral 370g Prom BIM 30403,6,2
Choco Roles Fresa 2p 67g CC MLA 30408,68,1
Empanaditas Fresa 20p 506g DH 30409,6,2
Tortillinas Burreras 20p 1020g MTA TR 30413,91,2
Polvoroncitos Caseros 8p 130g TR 30415,72,1
Polvoroncitos Caseros 8p 130g MTA TR 30416,45,2
Polvoroncitos Caseros 8p 130g TAB TR 30417,1,1
Silueta Fresa 22g BIM 30418,92,1
Silueta Fresa 22g MTB BIM 30419,95,1
Silueta Fresa 6p 132g BIM 30421,97,1
Silueta Fresa 6p 132g CU BIM 30422,8,1
Silueta Fresa 6p 132g MTA BIM 30423,27,1
Silueta Fresa 6p 132g TAB BIM 30424,0,2
Rocks 6p 45g MLA 30437,87,2
Barra Arroz con Fruta Seca DIF 25g BIM 30461,54,2
Mi Napi 25g MLA 30473,4,1
Mini Bigotes Chocolate 5p 65g SP CU TR 30475,47,1
Panque Chocolate 255g BIM 30477,67,2
Tortillinas 22p 570g Prom TR 30505,86,1
Tortillinas 22p 570g Prom MTA TR 30506,0,1
Tortillinas 22p 570g Prom TAB TR 30507,73,1
Principe 10p 106g Prom MLA 30531,6,2
Principe 10p 106g Prom MTB MLA 30532,11,1
Principe 10p 106g Prom TAB MLA 30533,76,1
Principe Dble Choc 10p 110g Prom MLA 30543,29,1
Principe Dble Choc 10p 110g Prom MTB MLA 30544,49,2
Suavicremas Chocolate 84g MLA 30548,85,2
Suavicremas Chocolate 84g MTA MLA 30549,51,2
Suavicremas Chocolate 84g TAB MLA 30550,0,2
Suavicremas Fresa 84g MLA 30551,75,1
Suavicremas Fresa 84g MTA MLA 30552,38,2
Suavicremas Fresa 84g TAB MLA 30553,94,2
Suavicremas Vainilla 84g MLA 30554,74,1
Suavicremas Vainilla 84g MTA MLA 30555,57,2
Suavicremas Vainilla 84g TAB MLA 30556,63,2
Sandwich Integral 112g LON 30562,55,2
Joya Sabor Manzana Lata 355ml CC 30566,19,1
Joya Sabor Toronja Lata 355ml CC 30567,28,2
Barritas Fresa Salvado 67g MLA 30568,11,2
Barritas Fresa Salvado 67g Prom MTB MLA 30569,67,2
Barritas Fresa Salvado 67g TAB MLA 30570,81,2
Barritas Fresa 67g MLA 30571,6,1
Barritas Fresa 67g Prom MTB MLA 30572,6,2
Barritas Fresa 67g TAB MLA 30573,43,2
Barritas Pina 67g MLA 30574,15,2
Barritas Pina 67g Prom MTB MLA 30575,86,1
Barritas Pina 67g TAB MLA 30576,91,2
Cuernito Jamon y Queso 80g LON 30581,96,1
Sandwich Blanco Jamon 90g LON 30582,81,2
Sand Bco Jamon sn Chile 86g LON 30584,24,2
Lata Ola 2 Navidena 6p 400g GBI 30593,68,1
Lata Ola 3 Navidena 6p 400g GBI 30594,69,1
Lata Ola 4 Paul Frank 6p 400g GBI 30595,91,2
Wonder 100pct Ajonjoli 680g WON 30599,33,1
Rosca Reyes 430g TR 30626,28,2
Bombonete Temporalidad 55g SP MLA 30646,63,2
Polvoroncitos Caseros 8p 130g SP CU TR 30693,17,2
Polvoroncitos Caseros 8p 130g SP MTA TR 30694,97,1
Barra Oroweat 35g ORO 30700,90,1
Bimbollos Extra 6p 480g Prom MTA BIM 30706,28,1
Empanaditas Fresa 20p 506g Prom DH 30707,78,2
Tuinky Fresas con Crema 4p 152g WON 30723,90,1
Leche Nito 236ml CU BIM 30735,85,1
Tostada Kodyz 20p 350g TBE KOD 30746,43,1
Tostada Roja 50p 585g TBE DH 30749,54,2
Barra Nutriavena Fresa 6p 224g MTA BIM 30751,54,1
Tortilla 20p 550g TR 30772,52,1
Agua Ciel Natural 12p 600ml CU CC 30773,63,1
Barra Multigrano Nuez 1p 34g BIM 30784,25,2
Barra Nutriavena Fresa 1p 32g BIM 30785,11,2
Cuernitos Famili Pack 3p 150g TAB TR 30805,21,2
Pipucho 50g MTB MLA 30813,17,2
Pipucho 49g TAB MLA 30814,16,2
Barra Multigrano Nuez 1p 34g MTB BIM 30815,72,1
Surtido Tartaletas Golden Hills 340g MP 30827,65,2
Barra Multigrano Linaza 1p 32g BIM 30830,2,2
Barra Multigrano Linaza 1p 32g TAB BIM 30831,63,1
Barra Multigrano Linaza 1p 32g MTB BIM 30832,80,1
Bisquet con Salvado 115g MTA TR 30859,49,1
Empanaditas Pina 20p DH 30871,54,2
Duo Gansito Clasico 50g MLA 30877,30,2
Empanaditas Pina 20p Prom DH 30888,16,2
Sandwich Blanco Jamon 90g MTA LON 30900,74,2
Sandwich Integral 112g Prom MTA LON 30904,66,2
Cuernito Jamon y Queso 80g Prom MTA LON 30906,84,1
Barri Frut Fresa 12p 37g Prom Dpy CU BIM 30916,20,2
Barri Frut Fresa 37g Cj CU BIM 30917,16,1
Saladas 175g LAR 30919,55,1
Bimbunuelos con Canela 2p 33g BIM 30946,23,2
Submarinos Fresa 4p 140g Prom MLA 30954,60,2
Totopo Chipotle 200g MR 30957,1,1
Empanzador Crujiente Prom BIM 30958,96,2
Tartinas Fresa 8p 104g SP CU TR 30971,70,2
Tartinas Pina 8p 104g SP CU TR 30972,20,1
Rielito 65g SP CU TR 30973,12,2
Bolsa Orejitas 100g CU TR 30980,78,1
Duo Rocko 88g MLA 30999,41,1
Duo Rocko 88g MTA MLA 31001,15,1
Mask Fresko Yerbabuena 6p 27g MSK 31003,9,2
Mask Fresko Menta 6p 27g MSK 31004,44,2
Tartinas Fresa 8p 104g SP MTB TR 31005,57,2
Tartinas Pina 8p 104g SP MTB TR 31006,67,2
Gansi Premio 1p 50g MLA 31013,34,1
Gansi Premio 1p 50g MTB MLA 31015,81,1
Tartinas Zarzamora 8p 104g TR 31031,29,1
Tartinas Zarzamora 8p 104g TAB TR 31032,69,2
Tartinas Zarzamora 8p 104g MTB TR 31033,92,2
Roscas Nuez sin Glass 32g GBI 31067,16,2
Galleta Avena Manz Canela 8p 100g TR 31075,3,2
Galleta Avena Manz Canela 8p 100g MTA TR 31077,52,2
Submarinos Fresa 4p 140g Prom MTB MLA 31080,19,2
Submarinos Vainilla 4p 140g Prom MTB MLA 31082,60,1
Submarinos Chocolat 4p 140g Prom MTB MLA 31083,54,2
Chips Fuego 46g BAR 31089,15,2
Conchas 3p 180g Prom Sp TR 31095,7,2
Cuernitos 3p 150g Prom Sp TR 31098,34,2
Cuernitos 3p 150g Prom Sp MTA TR 31100,45,2
Doraditas 4p 147g Prom Sp MTA TR 31103,10,1
Choco Roles Pina 3p 101g Prom MLA 31118,9,2
Choco Roles Pina 3p 101g Prom TAB MLA 31119,45,2
Choco Roles Pina 3p 101g Prom MTB MLA 31120,96,1
